timestamp[ms];temp_probe[°C];
26343;8.45;
26361;8.45;
26379;8.45;
26397;8.45;
26415;8.45;
26434;8.45;
26452;8.45;
26470;8.45;
26488;8.45;
26506;8.45;
26525;8.45;
26543;8.45;
26561;8.45;
26585;8.45;
26603;8.44;
26622;8.44;
26640;8.45;
26658;8.45;
26676;8.45;
26694;8.45;
26713;8.45;
26731;8.45;
timestamp[ms];temp_probe[°C];
2103;8.44;
62123;8.04;
122142;8.04;
182161;8.47;
242180;9.33;
302223;10.28;
362242;11.21;
422261;12.05;
482280;12.93;
542299;13.76;
602317;14.58;
662336;15.42;
722354;16.17;
782373;16.82;
842391;17.57;
902410;18.28;
962428;19.00;
1022446;19.68;
1082465;20.35;
1142483;20.99;
1202502;21.62;
1262520;22.25;
1322539;22.88;
1382558;23.47;
1442583;24.04;
1502602;24.60;
1562621;25.16;
1622640;25.70;
1682659;26.24;
1742678;26.76;
1802697;27.27;
1862715;27.80;
1922734;28.21;
1982753;28.73;
2042772;29.21;
2102791;29.70;
2162810;30.18;
2222828;30.66;
2282847;31.14;
2342866;31.58;
2402885;32.06;
2462904;32.48;
2522923;32.92;
2582942;33.34;
2642960;33.78;
2702979;34.23;
2762998;34.66;
2823017;35.07;
2883035;35.48;
2943054;35.88;
3003073;36.28;
3063092;36.70;
3123111;37.07;
3183130;37.45;
