Timestamp,Temperatur,Power
4204697,26.145197,0.500894
4205775,26.192835,0.511231
4206853,26.193384,0.502886
4207931,26.213953,0.505458
4209009,26.237513,0.503326
4210085,26.216059,0.503480
4211163,26.208399,0.503070
4212248,26.217249,0.502791
4213326,26.219660,0.504403
4214404,26.211451,0.504418
4215482,26.185938,0.503033
4216560,26.177393,0.505597
4217638,26.212214,0.507956
4218716,26.220758,0.504154
4219794,26.241571,0.502930
4220877,26.221949,0.502718
4221955,26.246485,0.504462
4223033,26.250849,0.502799
4224109,26.229639,0.503377
4225187,26.202570,0.503297
4226265,26.186914,0.503802
4227343,26.225367,0.503311
4228421,26.228205,0.509919
4229499,26.257227,0.503018
4230582,26.243189,0.509766
4231660,26.263239,0.503590
4232740,26.264643,0.503326
4233819,26.246820,0.503985
4234897,26.242975,0.503319
4235975,26.242884,0.503714
4237053,26.210688,0.502476
4238129,26.242670,0.503700
4239207,26.251856,0.503502
4240289,26.245050,0.504864
4241367,26.254480,0.504835
4242446,26.287653,0.510154
4243524,26.256464,0.502249
4244602,26.258966,0.503612
4245680,26.246607,0.503736
4246758,26.216913,0.504388
4247836,26.258844,0.503993
4248919,26.211664,0.502916
4250003,26.252283,0.503963
4251078,26.260279,0.505011
4252154,26.263239,0.503832
4253232,26.313257,0.504212
4254311,26.266962,0.502440
4255388,26.266199,0.510703
4256466,26.245295,0.503114
4257544,26.251947,0.503260
4258627,26.245295,0.501311
4259705,26.267511,0.503143
4260783,26.272211,0.502623
4261861,26.304712,0.503546
4262939,26.318628,0.502879
4264017,26.289728,0.504015
4265093,26.254267,0.504146
4266171,26.277033,0.509326
4267249,26.281519,0.502491
4268331,26.281855,0.507546
4269409,26.286432,0.503905
4270487,26.310633,0.502762
4271574,26.275171,0.503026
4272654,26.288843,0.502359
4273734,26.297174,0.502960
4274814,26.293787,0.504139
4275894,26.295862,0.505128
4276978,26.264338,0.503297
4278058,26.267603,0.504088
4279136,26.299250,0.502549
4280216,26.301874,0.503070
4281296,26.302301,0.502989
4282376,26.307550,0.501810
4283456,26.308008,0.501568
4284535,26.305689,0.502527
4285615,26.309961,0.503597
4286700,26.256678,0.502315
4287780,26.286768,0.502015
4288860,26.308771,0.502549
4289939,26.310511,0.503326
4291022,26.281305,0.501560
4292102,26.275385,0.502007
4293180,26.325281,0.501179
4294260,26.318293,0.501341
4295339,26.325525,0.500952
4296424,26.297602,0.502483
4297504,26.299036,0.500432
4298584,26.299677,0.502242
4299664,26.303064,0.502103
4300744,26.303949,0.501055
4301824,26.305262,0.501678
4302904,26.297480,0.501963
4303984,26.298273,0.501407
4305069,26.342920,0.503385
4306149,26.340052,0.501436
4307227,26.314234,0.502806
4308307,26.321802,0.500293
4309388,26.324640,0.501612
4310468,26.317530,0.502352
4311550,26.347620,0.502366
4312630,26.347162,0.500498
4313710,26.330317,0.503751
4314795,26.362268,0.508059
4315875,26.356684,0.506835
4316955,26.360193,0.506095
4318035,26.362818,0.507517
4319115,26.366755,0.505802
4320193,26.358789,0.501040
4321268,26.330317,0.499575
4322348,26.327814,0.501392
4323429,26.327600,0.501245
4324513,26.365015,0.502601
4325593,26.367182,0.501304
4326673,26.370264,0.502996
4327753,26.367090,0.501165
4328833,26.371698,0.502491
4329914,26.373438,0.501348
4330996,26.380640,0.506286
4332076,26.379358,0.501026
4333161,26.402979,0.500440
4334238,26.384912,0.503685
4335318,26.392572,0.504396
4336398,26.396296,0.505443
4337478,26.392481,0.504637
4338558,26.393030,0.504637
4339638,26.390619,0.504366
4340718,26.393244,0.505084
4341798,26.394129,0.506586
4342883,26.402216,0.501780
4343963,26.397730,0.501685
4345043,26.403742,0.501846
4346123,26.407557,0.500491
4347203,26.405481,0.500535
4348281,26.399042,0.501546
4349361,26.402521,0.499348
4350443,26.409876,0.501626
4351523,26.412592,0.501245
4352608,26.458307,0.502015
4353688,26.454493,0.501575
4354768,26.459620,0.500821
4355848,26.451197,0.501421
4356928,26.448145,0.500227
4358008,26.442225,0.500513
4359088,26.433374,0.499575
4360168,26.424616,0.500623
4361253,26.421015,0.499531
4362330,26.456873,0.501429
4363410,26.471857,0.502000
4364490,26.475702,0.501172
4365570,26.466059,0.501201
4366650,26.440699,0.500469
4367730,26.435358,0.502447
4368810,26.435236,0.500930
4369890,26.432398,0.500967
4370977,26.433496,0.501018
4372057,26.440607,0.502176
4373137,26.451746,0.500659
4374217,26.463556,0.502095
4375297,26.474817,0.502242
4376375,26.445734,0.503304
4377455,26.444422,0.500645
4378535,26.444635,0.501612
4379615,26.447687,0.499905
4380699,26.479731,0.505062
4381779,26.492640,0.504703
4382859,26.500208,0.504535
4383939,26.494287,0.501238
4385019,26.468042,0.500945
4386099,26.458643,0.502564
4387179,26.463129,0.501832
4388259,26.461817,0.502901
4389337,26.467066,0.503092
4390420,26.462793,0.499641
4391500,26.465845,0.500696
4392580,26.463007,0.501458
4393660,26.471094,0.500007
4394740,26.475031,0.502374
4395820,26.476557,0.503201
4396900,26.475245,0.501377
4397980,26.477777,0.501282
4399064,26.520105,0.500410
4400144,26.483027,0.500872
4401224,26.481379,0.500498
4402304,26.480829,0.502967
4403382,26.482813,0.506212
4404462,26.480402,0.506381
4405542,26.482141,0.506945
4406622,26.474176,0.505853
4407702,26.460169,0.503773
4408787,26.493738,0.501758
4409869,26.491449,0.502139
4410949,26.495142,0.500828
4412029,26.497461,0.500381
4413109,26.497034,0.502872
4414189,26.491663,0.501099
4415269,26.495386,0.502850
4416348,26.492975,0.501319
4417426,26.442560,0.502396
4418510,26.499537,0.502205
4419590,26.497034,0.502696
4420670,26.486506,0.502996
4421750,26.477228,0.503231
4422830,26.477106,0.501766
4423910,26.463678,0.501253
4424990,26.455805,0.501641
4426070,26.498224,0.499560
4427155,26.502375,0.499458
4428235,26.493189,0.500813
4429322,26.521845,0.500652
4430402,26.520227,0.501245
4431479,26.516718,0.502410
4432559,26.517359,0.501370
4433639,26.513880,0.501597
4434719,26.500635,0.501011
4435805,26.525782,0.506300
4436890,26.560205,0.500755
4437970,26.575525,0.501055
4439050,26.562830,0.500388
4440130,26.530817,0.501392
4441210,26.535395,0.500843
4442289,26.533655,0.500359
4443369,26.533777,0.501231
4444449,26.535639,0.500667
4445527,26.504663,0.500571
4446611,26.538019,0.501033
4447691,26.535730,0.499993
4448771,26.530725,0.501209
4449854,26.538355,0.500403
4450933,26.542292,0.499678
4452014,26.525232,0.500344
4453094,26.516840,0.498960
4454174,26.516504,0.500454
4455258,26.548090,0.500711
4456338,26.553766,0.501055
4457418,26.552790,0.500366
4458496,26.523371,0.500623
4459572,26.547632,0.500557
4460652,26.553766,0.501304
4461732,26.551813,0.500484
4462812,26.556177,0.501150
4463892,26.557581,0.500608
4464977,26.523920,0.501304
4466057,26.535639,0.500454
4467137,26.539576,0.500960
4468217,26.549189,0.500901
4469299,26.534540,0.501824
4470379,26.533442,0.500029
